iter	RMSE
0	3746.270272
1	3533.733023
2	3338.468434
3	3149.175252
4	2968.795207
5	2802.970194
6	2654.498168
7	2505.804447
8	2372.184077
9	2246.096001
10	2132.769634
11	2022.811475
12	1921.909496
13	1824.52305
14	1736.853
15	1655.698587
16	1579.306505
17	1510.42981
18	1444.364503
19	1381.759595
20	1325.359115
21	1271.709277
22	1223.703628
23	1178.106806
24	1138.310834
25	1099.754967
26	1064.590058
27	1031.102741
28	1000.853081
29	972.2790728
30	946.2346417
31	921.9763577
32	898.090179
33	877.5424116
34	857.5146605
35	837.9900534
36	821.3479382
37	805.6519347
38	791.4048063
39	778.5658905
40	767.2430024
41	755.1899857
42	744.0797579
43	734.7191654
44	724.8442843
45	715.2541877
46	707.2748324
47	699.0328889
48	691.378679
49	685.0255897
50	678.1894403
51	671.3981381
52	664.8475983
53	659.248067
54	654.473568
55	649.9443052
56	644.9588925
57	640.8207542
58	637.1246424
59	633.8775052
60	629.8333301
61	627.0018171
62	623.6034471
63	619.665633
64	616.5737863
65	612.9700269
66	609.9318792
67	606.637344
68	603.9682792
69	601.1221137
70	599.3151433
71	597.6840222
72	595.0598341
73	593.4556235
74	591.2004073
75	589.3124516
76	587.3198256
77	584.8802676
78	582.6487198
79	581.3251486
80	580.2855596
81	578.386383
82	576.9362761
83	575.3175942
84	573.9206152
85	572.4030768
86	570.3681279
87	569.0107794
88	568.0880705
89	566.9106635
90	565.2064009
91	563.629445
92	562.2235669
93	561.3124519
94	559.9964971
95	559.0097328
96	558.0737157
97	556.8919992
98	555.8731269
99	554.8446131
100	553.7241089
101	552.6020323
102	551.6672128
103	551.0964074
104	550.242936
105	548.97957
106	548.2357268
107	547.6675093
108	546.9413877
109	545.8326886
110	545.1401672
111	544.4720876
112	543.9863284
113	543.1871266
114	542.1550223
115	541.6806829
116	540.9775965
117	539.7817757
118	539.2259562
119	538.6845962
120	537.9593294
121	537.3398029
122	536.7109746
123	536.0968392
124	535.7009001
125	535.0484292
126	534.3493006
127	533.6707998
128	533.2478459
129	532.755341
130	531.9555237
131	531.2199658
132	530.4535798
133	530.0274166
134	529.7773279
135	529.2634541
136	528.7991858
137	528.4149371
138	527.8763123
139	527.2703584
140	526.1762885
141	525.5807324
142	525.193337
143	524.731748
144	523.8743751
145	523.0459617
146	522.7142493
147	522.4707745
148	522.0848952
149	521.6380439
150	521.1711064
151	520.4428939
152	519.8281427
153	519.4822794
154	519.0665025
155	518.4744551
156	517.8991066
157	517.4089265
158	517.1177384
159	516.6371629
160	516.039147
161	515.4652217
162	515.1200587
163	514.8680596
164	514.4584178
165	514.0766183
166	513.4075423
167	512.9755594
168	512.6754067
169	512.2180626
170	511.5914423
171	511.0660895
172	510.5975678
173	510.1884368
174	509.6741701
175	508.9403181
176	508.2843354
177	507.8113084
178	507.1632082
179	506.804908
180	506.4499582
181	506.0495184
182	505.5311646
183	505.1521454
184	504.690598
185	504.1819407
186	503.6844435
187	503.0413772
188	502.6986998
189	502.269987
190	501.9108796
191	501.2896973
192	501.0131963
193	500.6299151
194	500.176477
195	499.7352321
196	499.2849687
197	498.7670907
198	498.5037991
199	498.10975
200	497.7980957
201	497.4181906
202	497.0835536
203	496.6877137
204	496.3631176
205	495.9736692
206	495.5440745
207	495.0238185
208	494.6259468
209	494.2372551
210	494.0462107
211	493.7101442
212	493.4589639
213	493.0574927
214	492.6937884
215	492.3204558
216	491.9370865
217	491.7127555
218	491.4301447
219	491.1137255
220	490.8165461
221	490.6816701
222	490.2683425
223	490.0850611
224	489.7348527
225	489.373024
226	488.964013
227	488.8118396
228	488.587477
229	488.3277453
230	487.9164982
231	487.4791203
232	487.0423602
233	486.7484398
234	486.3567029
235	486.0756863
236	485.5835056
237	485.3913579
238	485.0641474
239	484.485559
240	484.3502581
241	484.1015818
242	483.910485
243	483.8735737
244	483.544908
245	483.3128565
246	483.0228829
247	482.5977464
248	482.3347572
249	482.1402855
250	481.8395259
251	481.6130759
252	481.2495719
253	480.9675965
254	480.9170385
255	480.681054
256	480.4561683
257	480.0834783
258	479.9455072
259	479.635019
260	479.3989789
261	479.0708702
262	478.6953024
263	478.3745755
264	478.3377538
265	478.1560616
266	477.8086652
267	477.586305
268	477.3320092
269	476.7274191
270	476.3623429
271	475.8350923
272	475.4013531
273	475.0213441
274	474.6439392
275	474.3753773
276	474.1070715
277	473.7840243
278	473.5799163
279	473.297506
280	473.0014208
281	472.7318838
282	472.3835803
283	472.1784707
284	471.9139661
285	471.5803701
286	471.4027344
287	471.1442981
288	470.9748983
289	470.7555181
290	470.5709741
291	470.3803096
292	470.1344496
293	469.9947564
294	469.7909075
295	469.6563767
296	469.2004834
297	468.9689398
298	468.2784383
299	467.9876837
300	467.7373148
301	467.3939012
302	467.254842
303	467.1257853
304	467.0161619
305	466.6425976
306	466.2183682
307	465.9063044
308	465.6862965
309	465.5783297
310	465.1699116
311	464.8814464
312	464.6503778
313	464.4925354
314	464.3110215
315	464.0271128
316	463.8068141
317	463.621058
318	463.4720569
319	463.237708
320	463.0597554
321	462.669678
322	462.3062596
323	462.1217195
324	461.8636514
325	461.494256
326	461.3638225
327	460.972498
328	460.6879802
329	460.4815741
330	460.2287927
331	460.1189039
332	459.9958591
333	459.8834543
334	459.5606263
335	459.3366078
336	459.0623736
337	458.7778059
338	458.6503753
339	458.4473325
340	458.3597272
341	457.9739565
342	457.793123
343	457.7211291
344	457.5325682
345	457.0072241
346	456.8445618
347	456.6738341
348	456.4229194
349	456.1505549
350	455.9143816
351	455.6804024
352	455.4597749
353	455.1375697
354	454.9517944
355	454.6381845
356	454.4313282
357	454.2106446
358	453.9319093
359	453.6489907
360	453.4351226
361	453.2057582
362	452.9455438
363	452.4961563
364	452.2682537
365	452.057983
366	451.8595002
367	451.5777075
368	451.4596378
369	451.2252436
370	451.0222345
371	450.8754931
372	450.6629208
373	450.4076704
374	450.0053465
375	449.7742755
376	449.4494904
377	449.2424764
378	449.1582904
379	449.0148424
380	448.905624
381	448.6663659
382	448.5657267
383	448.4240874
384	448.2566368
385	447.7638798
386	447.5157225
387	447.2186508
388	447.0011339
389	446.8164694
390	446.5892118
391	446.4070663
392	446.1732598
393	445.8646836
394	445.601661
395	445.5434242
396	445.2307349
397	444.7325704
398	444.644485
399	444.4694574
400	444.310876
401	444.1495371
402	444.0266231
403	443.7708122
404	443.6576967
405	443.2776484
406	443.114534
407	442.8286783
408	442.7361698
409	442.6390265
410	442.4568346
411	442.2861936
412	442.162889
413	442.115554
414	441.9606323
415	441.7666686
416	441.6948937
417	441.4612636
418	441.0325508
419	440.8784785
420	440.6736832
421	440.4196803
422	440.0539143
423	439.8482532
424	439.7202976
425	439.6688315
426	439.511368
427	439.2515268
428	439.2139962
429	439.0940088
430	439.0419516
431	438.8452475
432	438.6867055
433	438.6248616
434	438.4025969
435	438.2334099
436	438.0529325
437	437.8855563
438	437.8190923
439	437.5545988
440	437.3303325
441	437.136237
442	436.937856
443	436.8210795
444	436.6367262
445	436.4327536
446	436.2456119
447	436.0115543
448	435.7777439
449	435.5471601
450	435.3826593
451	435.3490919
452	435.0125051
453	434.6935723
454	434.6505694
455	434.4488719
456	434.3894438
457	434.1346103
458	434.0570953
459	433.8735248
460	433.5969625
461	433.5005469
462	433.3599048
463	433.0805797
464	432.8866124
465	432.4776713
466	432.2733539
467	432.1922868
468	432.0935577
469	431.9439401
470	431.7790757
471	431.4832129
472	431.4272699
473	431.2093115
474	431.0414188
475	430.8571834
476	430.6515523
477	430.6033515
478	430.3493418
479	430.1791631
480	430.107022
481	429.9142357
482	429.8656926
483	429.6020116
484	429.4734454
485	429.2133277
486	429.0059674
487	428.8080696
488	428.6500455
489	428.5422349
490	428.290227
491	428.160701
492	427.8945817
493	427.7219174
494	427.5503329
495	427.3132248
496	427.1893186
497	427.0683194
498	426.8136486
499	426.659997
500	426.5247331
501	426.2274423
502	426.1622463
503	426.0599078
504	425.9641383
505	425.8779526
506	425.7570354
507	425.6812057
508	425.4575112
509	425.3721045
510	425.2002414
511	424.8296567
512	424.6645192
513	424.4963013
514	424.256724
515	424.1012182
516	423.9989203
517	423.8140053
518	423.6728446
519	423.5218719
520	423.391223
521	423.1345015
522	422.8988066
523	422.7517241
524	422.6536063
525	422.4906598
526	422.2325053
527	421.8850774
528	421.6885585
529	421.5133998
530	421.3285874
531	421.2030752
532	421.1213772
533	420.9483358
534	420.7552983
535	420.5461636
536	420.4994599
537	420.2383953
538	420.0006566
539	419.7210307
540	419.6065091
541	419.4550053
542	419.4176981
543	419.3219385
544	419.0519411
545	418.9957019
546	418.6366827
547	418.4599618
548	418.3192175
549	418.0868057
550	417.9819886
551	417.718031
552	417.577475
553	417.3573429
554	417.2315472
555	417.0573407
556	417.0228552
557	416.8197989
558	416.53076
559	416.2814325
560	416.1697926
561	416.0391681
562	415.8416514
563	415.617746
564	415.3012787
565	415.1668329
566	415.0456102
567	414.9179818
568	414.786996
569	414.5735508
570	414.4353399
571	414.2751252
572	414.1585568
573	414.0376647
574	413.9021295
575	413.7197602
576	413.5503657
577	413.2339043
578	413.0978912
579	412.897872
580	412.7832451
581	412.6601666
582	412.5534645
583	412.3919776
584	412.311558
585	412.2688846
586	412.071122
587	411.8797832
588	411.8110773
589	411.6852557
590	411.6474111
591	411.6166654
592	411.4961627
593	411.3060836
594	411.1351215
595	410.983557
596	410.8627124
597	410.7911434
598	410.7352766
599	410.614554
600	410.3600919
601	410.1988869
602	410.04284
603	409.9672011
604	409.7463913
605	409.6827877
606	409.525801
607	409.4627717
608	409.185605
609	409.0317726
610	408.9619763
611	408.8977365
612	408.6661206
613	408.4023387
614	408.2758916
615	408.0719409
616	407.9678426
617	407.8709033
618	407.6510476
619	407.4187968
620	407.2761185
621	407.0901287
622	407.0131939
623	406.8968296
624	406.7780559
625	406.6312295
626	406.5224329
627	406.4114436
628	406.2442434
629	406.0995513
630	405.9714904
631	405.8470701
632	405.6878693
633	405.6026422
634	405.4832443
635	405.4152103
636	405.2506132
637	404.9752289
638	404.8740121
639	404.7596333
640	404.6288458
641	404.5104935
642	404.4328735
643	404.3507408
644	404.2547012
645	404.1088065
646	404.0577379
647	403.9471398
648	403.8476064
649	403.777801
650	403.6415681
651	403.5212534
652	403.3518756
653	403.2943934
654	403.1259551
655	402.9218722
656	402.7615458
657	402.6044217
658	402.3708891
659	402.1935746
660	402.1492542
661	401.9644458
662	401.9241355
663	401.7478609
664	401.5842172
665	401.3816207
666	401.2359101
667	401.1619178
668	401.0237757
669	400.7814025
670	400.6440609
671	400.4868011
672	400.3204953
673	400.0739563
674	399.9856028
675	399.9041534
676	399.822851
677	399.8001564
678	399.558566
679	399.4498842
680	399.2929552
681	399.2249949
682	399.1249495
683	398.9529747
684	398.7390163
685	398.5851742
686	398.4092015
687	398.1520893
688	398.0019287
689	397.8602887
690	397.7625002
691	397.7204023
692	397.5747976
693	397.3703624
694	397.2327653
695	397.1765696
696	397.1223143
697	396.90769
698	396.8059486
699	396.6550057
700	396.5233483
701	396.3184787
702	396.1074301
703	395.9438174
704	395.6478879
705	395.3817389
706	395.2009371
707	395.1121734
708	394.9180481
709	394.8021581
710	394.6812501
711	394.5443656
712	394.3783356
713	394.2310912
714	394.1164761
715	393.9528132
716	393.8774616
717	393.7738496
718	393.5976059
719	393.3806721
720	393.1727868
721	393.0840501
722	392.9879493
723	392.9417339
724	392.9282156
725	392.8614157
726	392.7711797
727	392.7221887
728	392.5569888
729	392.4214838
730	392.2019393
731	392.0591516
732	391.8825323
733	391.846157
734	391.7524849
735	391.6471343
736	391.5334376
737	391.3918065
738	391.2517398
739	391.1472828
740	391.1017582
741	391.0611862
742	390.9569079
743	390.8713526
744	390.6772714
745	390.5081995
746	390.3838235
747	390.2553093
748	390.0512723
749	389.8607364
750	389.7508519
751	389.5817864
752	389.4081297
753	389.299619
754	389.1949611
755	389.0900583
756	389.003195
757	388.9179321
758	388.8668643
759	388.6832073
760	388.4735799
761	388.3901658
762	388.3274956
763	388.1401545
764	387.9682203
765	387.9124542
766	387.7442344
767	387.55751
768	387.3552619
769	387.3055972
770	387.1796279
771	387.0333246
772	386.9481406
773	386.8861393
774	386.8538497
775	386.8320403
