iter	Passed	Remaining
791	2049	538
792	2051	535
793	2054	533
794	2057	530
795	2059	527
796	2062	525
797	2065	522
798	2067	520
799	2070	517
800	2072	514
801	2075	512
802	2078	509
803	2080	507
804	2083	504
805	2086	502
806	2088	499
807	2091	496
808	2093	494
809	2096	491
810	2099	489
811	2101	486
812	2104	484
813	2106	481
814	2109	478
815	2112	476
816	2114	473
817	2117	471
818	2120	468
819	2123	466
820	2126	463
821	2129	461
822	2132	458
823	2135	456
824	2137	453
825	2140	450
826	2142	448
827	2145	445
828	2148	443
829	2151	440
830	2153	438
831	2156	435
832	2159	432
833	2161	430
834	2164	427
835	2167	425
836	2169	422
837	2172	419
838	2175	417
839	2177	414
840	2180	412
841	2183	409
842	2185	407
843	2188	404
844	2191	401
845	2193	399
846	2196	396
847	2199	394
848	2202	391
849	2204	389
850	2207	386
851	2210	383
852	2212	381
853	2215	378
854	2218	376
855	2220	373
856	2223	370
857	2225	368
858	2228	365
859	2231	363
860	2233	360
861	2236	358
862	2238	355
863	2241	352
864	2244	350
865	2247	347
866	2250	345
867	2252	342
868	2255	340
869	2258	337
870	2260	334
871	2263	332
872	2266	329
873	2268	327
874	2271	324
875	2274	321
876	2276	319
877	2279	316
878	2282	314
879	2284	311
880	2287	309
881	2290	306
882	2293	303
883	2295	301
884	2298	298
885	2301	296
886	2303	293
887	2306	290
888	2308	288
889	2311	285
890	2314	283
891	2316	280
892	2319	277
893	2322	275
894	2324	272
895	2327	270
896	2329	267
897	2332	264
898	2335	262
899	2337	259
900	2340	257
901	2343	254
902	2346	252
903	2348	249
904	2351	246
905	2354	244
906	2356	241
907	2359	239
908	2362	236
909	2364	233
910	2367	231
911	2369	228
912	2372	226
913	2374	223
914	2377	220
915	2380	218
916	2382	215
917	2385	213
918	2388	210
919	2391	207
920	2393	205
921	2396	202
922	2398	200
923	2401	197
924	2404	194
925	2407	192
926	2409	189
927	2411	187
928	2414	184
929	2417	181
930	2419	179
931	2422	176
932	2425	174
933	2427	171
934	2430	168
935	2432	166
936	2435	163
937	2438	161
938	2441	158
939	2443	155
940	2446	153
941	2449	150
942	2451	148
943	2454	145
944	2457	143
945	2460	140
946	2463	137
947	2465	135
948	2468	132
949	2471	130
950	2474	127
951	2477	124
952	2480	122
953	2483	119
954	2485	117
955	2488	114
956	2490	111
957	2493	109
958	2496	106
959	2498	104
960	2501	101
961	2504	98
962	2507	96
963	2509	93
964	2512	91
965	2515	88
966	2517	85
967	2520	83
968	2522	80
969	2525	78
970	2527	75
971	2530	72
972	2533	70
973	2538	67
974	2541	65
975	2543	62
976	2546	59
977	2549	57
978	2552	54
979	2554	52
980	2557	49
981	2560	46
982	2563	44
983	2566	41
984	2568	39
985	2571	36
986	2574	33
987	2577	31
988	2579	28
989	2582	26
990	2585	23
991	2588	20
992	2591	18
993	2594	15
994	2597	13
995	2600	10
996	2603	7
997	2605	5
998	2608	2
999	2610	0
